images,gender,cat,sub-cat,types,colour,season,year,usage,product
11773,Unisex,Accessories,Bags,Backpacks,Purple,Summer,2011,Sports,Quechua Forclaz 25L Air Purple Backpack
11774,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011,Sports,Quechua 22L Blue Bag
11775,Unisex,Accessories,Bags,Backpacks,Brown,Fall,2010,Sports,Quechua Arpenaz 30L Brown Bag
11776,Women,Footwear,Shoes,Sports Shoes,Black,Fall,2010,Sports,Kalenji Women Black Pink Shoe
11777,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Casual,Puma Men's Jamaica Jam Blues T-shirt
11778,Women,Accessories,Bags,Handbags,Blue,Summer,2011,Sports,Geonaute Women Large Outdoor Bag Bag
11779,Women,Accessories,Bags,Handbags,Brown,Summer,2011,Sports,Domyos Brown Bag
11780,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Casual,Puma Mens Reggae All Night White T-shirt
11781,Unisex,Accessories,Bags,Duffel Bag,Grey,Summer,2011,Casual,Domyos Grey Duffle Duffle Bag
11782,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Casual,Puma Mens Reggae All Night Blues T-shirt
11783,Men,Apparel,Topwear,Tshirts,Green,Fall,2010,Sports,Puma Mens Reggae All Night Green T-shirt
11784,Men,Apparel,Topwear,Tshirts,Green,Fall,2010,Casual,Puma Mens One Love Reggae Polo T-shirt
11785,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Sports,Puma Mens Cricket Way of Life T-shirt
11786,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Casual,Puma Mens Keyboard Sidebar Black Polo T-shirt
11787,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Casual,Puma Mens Keyboard Sidebar White Polo T-shirt
11788,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Casual,Puma Mens Colour Splash T-shirt
11789,Women,Footwear,Shoes,Sports Shoes,Purple,Fall,2011,Sports,Puma Women Eco Funky Shoes
11790,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,ADIDAS Men's Duramo Leather Shoe
11791,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,ADIDAS Men's Azaro White Shoe
11792,Men,Footwear,Shoes,Casual Shoes,Blue,Winter,2010,Casual,ADIDAS Men's Blue Canvas Shoe
11793,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Domyos Mens Compression Black T-shirt
11794,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Kalenji Mens White T-shirt
11795,Men,Apparel,Topwear,Tshirts,Brown,Fall,2010,Casual,Quechua Mens Brown T-shirt
11796,Men,Apparel,Bottomwear,Shorts,White,Summer,2011,Casual,Tribord Mens Short Cargo Shorts
11797,Men,Apparel,Bottomwear,Shorts,Grey,Summer,2011,Casual,Tribord Mens Grey Cargo Shorts
11798,Women,Apparel,Topwear,Tops,Yellow,Fall,2010,Casual,Puma Women Yellow Sleeveless Top
11799,Women,Apparel,Bottomwear,Shorts,Green,Fall,2010,Casual,Puma Women's Island Green Shorts
11800,Women,Apparel,Bottomwear,Shorts,Purple,Fall,2010,Casual,Puma Women's Island Shorts Purple
11801,Women,Apparel,Topwear,Tshirts,Blue,Fall,2010,Casual,ADIDAS Women Graphic Blue T-shirt
11802,Women,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,ADIDAS Women Graphic White T-shirt
11803,Women,Apparel,Topwear,Tshirts,Red,Fall,2010,Casual,ADIDAS Womens Classic Red T-shirt
11804,Women,Apparel,Topwear,Tshirts,Blue,Fall,2010,Sports,ADIDAS Womens Blue V Neck T-shirt
11805,Women,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,ADIDAS Womens Red Tank T-shirt
11806,Women,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,ADIDAS Womens Black Tank Fitted T-shirt
11807,Women,Apparel,Topwear,Tshirts,Green,Summer,2011,Sports,ADIDAS Women's New Striped Tank T-shirt
11808,Women,Apparel,Topwear,Tshirts,Blue,Fall,2010,Casual,ADIDAS Womens Blue  Polo T-shirt
11809,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2010,Sports,Puma Men's Heroes T-shirt
11810,Women,Apparel,Topwear,Tshirts,Grey,Fall,2010,Casual,Puma Women Femme Fatale T-shirt
11811,Women,Apparel,Topwear,Tshirts,Yellow,Fall,2010,Sports,Puma Women's Powergirls T-shirt
11812,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Casual,ADIDAS Mens Crew Red T-shirt
11813,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Sports,ADIDAS Mens Crew Grey T-shirt
11814,Men,Apparel,Bottomwear,Shorts,Grey,Fall,2010,Sports,Puma Men's Grey Sports Shorts
11815,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,ADIDAS Mens Fitted T-shirt
11816,Men,Apparel,Bottomwear,Track Pants,Grey,Fall,2010,Casual,Puma Men's Grey Track Pants
11817,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Sports,ADIDAS Mens Grey Polo T-shirt
11818,Women,Apparel,Topwear,Tshirts,Yellow,Fall,2010,Sports,PUMA Women Yellow Printed T-shirt
11819,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Casual,ADIDAS Mens Dark Blue T-shirt
11820,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,ADIDAS Mens Red T-shirt
11821,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Casual,ADIDAS Mens Black T-shirt
11822,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Casual,Puma Men's African Splash T-shirt
11823,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Casual,ADIDAS Mens Full Black T-shirt
11824,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Sports,ADIDAS Mens Classic Dark Indigo T-shirt
11825,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Casual,ADIDAS Mens Classic White Polo T-shirt
11826,Men,Apparel,Topwear,Tshirts,Green,Fall,2010,Sports,ADIDAS Mens Classic Green Polo T-shirt
